population,profile_id,rotor_position,rotor_present,s2_coupling_interval_ms,apd90_0d_ms,erp_1d_ms,cv_1d_cm_s,vw_any_duration_ms,vw_sustained_duration_ms,df_baseline_hz,area_baseline_cm2,df_baseline_interval_0p5hz,df_baseline_subgroup
pAF,937,m,1,240,204.008316693908,230,63.1895687061183,16,16,4.7607421875,0.9963,4.5-5.0,low
pAF,972,m,1,218,196.07581528039,210,67.4518201284796,14,14,5.2490234375,0.8739,5.0-5.5,mid
pAF,974,m,1,196,177.871793378028,185,81.2903225806451,18,18,6.4697265625,1.1196,6.0-6.5,mid
pAF,975,m,0,NaN,237.416265868473,256,75.7211538461538,0,0,NaN,NaN,,
pAF,988,m,1,187,164.15947095133,177,79.646017699115,18,18,6.8359375,1.0548,6.5-7.3,high
pAF,1003,m,1,204,174.737608074698,189,86.3013698630137,23,23,5.7373046875,1.0989,5.5-6.0,mid
pAF,1017,m,1,202,176.713842390702,190,79.9492385786802,18,13,5.9814453125,1.3887,5.5-6.0,mid
pAF,1037,m,0,NaN,217.514996776816,227,65.6934306569343,3,3,NaN,NaN,,mid
pAF,1038,m,1,193,179.771896525504,183,82.03125,17,17,6.591796875,1.0944,6.5-7.3,high
pAF,1040,m,0,NaN,219.698918544316,288,84.4504021447721,28,0,NaN,NaN,,
pAF,1059,m,0,NaN,234.060845519984,234,82.4607329842932,3,0,NaN,NaN,,
pAF,1089,m,0,NaN,216.775488812527,246,86.896551724138,3,0,NaN,NaN,,
pAF,1109,m,0,NaN,163.917816645167,205,83.554376657825,31,0,NaN,NaN,,
pAF,1110,m,0,NaN,198.851260728334,233,76.0869565217391,16,12,NaN,NaN,,low
pAF,1125,m,0,NaN,185.340771250485,234,76.0869565217391,18,0,NaN,NaN,,
pAF,1135,m,1,210,191.039507566005,201,75.8122743682311,15,15,6.34765625,1.1907,6.0-6.5,mid
pAF,1137,m,0,NaN,188.72955789906,215,75.1789976133652,21,21,NaN,NaN,,mid
pAF,1140,m,1,221,162.804375267515,201,71.3476783691959,35,33,5.37109375,0.9279,5.0-5.5,mid
pAF,1141,m,1,213,178.808036225193,201,71.4285714285714,32,7,5.2490234375,1.323,5.0-5.5,mid
pAF,1147,m,1,219,183.777109008442,200,78.9473684210526,27,25,5.37109375,1.1862,5.0-5.5,mid
pAF,1173,m,0,NaN,189.436115059609,223,79.2452830188679,17,1,NaN,NaN,,low
pAF,1176,m,1,200,161.215743792884,181,80.7692307692308,31,31,6.103515625,1.1736,6.0-6.5,mid
pAF,1182,m,0,NaN,236.298584956479,295,85.9481582537517,17,0,NaN,NaN,,
pAF,1184,m,1,234,227.067937728942,232,74.5562130177515,4,4,5.2490234375,1.3275,5.0-5.5,mid
pAF,1198,m,1,202,163.226797826959,184,63.12625250501,31,31,5.859375,0.9171,5.5-6.0,mid
pAF,1210,m,1,219,170.16951278635,192,57.6923076923077,41,41,5.2490234375,1.0062,5.0-5.5,mid
pAF,1213,m,0,NaN,203.211399122869,203,83.5543766578249,17,3,NaN,NaN,,mid
pAF,1226,m,0,NaN,230.547504680384,256,88.2352941176471,11,0,NaN,NaN,,
pAF,1241,m,0,NaN,212.546354602113,225,82.1382007822686,10,3,NaN,NaN,,
pAF,1246,m,0,NaN,164.597771638124,172,85.3658536585366,25,23,NaN,NaN,,high
pAF,1255,m,0,NaN,235.537404389681,258,62.3762376237624,5,1,NaN,NaN,,low
pAF,1260,m,1,212,181.337033036478,197,78.9473684210526,24,24,5.7373046875,1.296,5.5-6.0,mid
pAF,1273,m,0,NaN,234.103182244406,251,88.35904628331,7,0,NaN,NaN,,
pAF,1278,m,0,NaN,234.574485233985,281,81.0810810810811,23,0,NaN,NaN,,
pAF,1282,m,1,194,185.625420388191,186,80.0508259212198,15,15,7.080078125,0.8784,6.5-7.3,high
pAF,1324,m,1,202,188.988272264593,194,77.7777777777778,14,14,6.34765625,1.1727,6.0-6.5,mid
pAF,1325,m,0,NaN,233.748360914433,278,64.2857142857142,11,0,NaN,NaN,,
pAF,1336,m,0,NaN,197.830746301915,243,68.7022900763359,29,0,NaN,NaN,,
pAF,1342,m,1,217,167.655658641212,208,75.7211538461538,30,7,5.859375,0.6615,5.5-6.0,mid
pAF,1345,m,0,NaN,206.880223900946,240,79.3450881612091,17,0,NaN,NaN,,
pAF,1346,m,1,229,206.745859913761,219,79.746835443038,16,14,5.37109375,1.3104,5.0-5.5,mid
pAF,1350,m,1,201,194.460195570769,199,72.3306544202067,6,6,6.4697265625,0.9729,6.0-6.5,mid
pAF,1356,m,1,218,180.242733435342,204,85.4816824966079,29,11,5.2490234375,1.1961,5.0-5.5,mid
pAF,1450,m,0,NaN,207.36275829807,240,84.4504021447721,15,3,NaN,NaN,,low
pAF,1461,m,0,NaN,230.203355450329,241,72.0823798627002,0,0,NaN,NaN,,
pAF,1466,m,0,NaN,230.45830288437,245,82.8947368421053,5,0,NaN,NaN,,
pAF,1476,m,1,190,163.7437475837,174,77.5862068965517,21,19,6.103515625,1.1979,6.0-6.5,mid
pAF,1510,m,1,196,171.918640463402,184,81.1855670103093,20,20,6.2255859375,1.2231,6.0-6.5,mid
pAF,1523,m,0,NaN,233.910030742256,252,89.2351274787536,10,0,NaN,NaN,,
pAF,1527,m,0,NaN,215.37304394535,225,77.2058823529412,3,3,NaN,NaN,,mid
pAF,1532,m,0,NaN,201.942262819859,259,84.6774193548387,12,0,NaN,NaN,,
pAF,1544,m,1,190,175.565998396509,184,77.9702970297029,10,10,6.591796875,1.1196,6.5-7.3,high
pAF,1551,m,1,206,172.658388965807,193,72.9166666666667,21,21,5.859375,1.1358,5.5-6.0,mid
pAF,1557,m,0,NaN,231.601545070196,266,85.3658536585366,4,0,NaN,NaN,,
pAF,1561,m,0,NaN,164.255768536808,175,76.3636363636364,0,0,NaN,NaN,,
pAF,1604,m,0,NaN,190.576548749879,198,86.8965517241379,19,1,NaN,NaN,,mid
pAF,1609,m,1,226,171.11409005164,214,68.1818181818182,30,15,4.638671875,1.0665,4.5-5.0,low
pAF,1612,m,0,NaN,243.500127957937,260,83.5543766578249,0,0,NaN,NaN,,
pAF,1628,m,0,NaN,228.595006265736,250,79.9492385786802,1,0,NaN,NaN,,
pAF,1643,m,1,225,219.41465692909,222,74.6445497630332,6,6,5.9814453125,1.2195,5.5-6.0,mid
pAF,1655,m,1,186,163.070323620792,173,77.7777777777778,24,24,6.9580078125,1.0215,6.5-7.3,high
pAF,1660,m,1,228,193.059217861482,221,83.223249669749,10,10,5.0048828125,1.2024,5.0-5.5,mid
pAF,1672,m,0,NaN,240.140078618264,247,80.1526717557252,7,0,NaN,NaN,,
pAF,1674,m,0,NaN,218.324749659027,236,79.2452830188679,0,0,NaN,NaN,,
pAF,1696,m,0,NaN,235.614753315815,234,81.0810810810811,0,0,NaN,NaN,,
pAF,1708,m,0,NaN,235.11191596857,249,86.1833105335157,4,0,NaN,NaN,,
pAF,1709,m,0,NaN,212.231416547351,233,85.5978260869565,6,0,NaN,NaN,,
pAF,1710,m,1,232,188.196595984089,218,74.3801652892562,22,22,4.8828125,1.0791,4.5-5.0,mid
pAF,1713,m,1,230,194.50322934935,215,71.4285714285714,24,24,5.4931640625,1.296,5.0-5.5,mid
pAF,1715,m,0,NaN,197.923696133272,216,85.1351351351351,4,4,NaN,NaN,,mid
pAF,1721,m,0,NaN,229.573134314582,251,84.3373493975904,1,0,NaN,NaN,,
pAF,1722,m,0,NaN,221.406675287006,234,78.5536159600997,7,0,NaN,NaN,,
pAF,1733,m,0,NaN,228.981612905118,233,83.223249669749,5,1,NaN,NaN,,mid
pAF,1747,m,0,NaN,164.053317589322,175,78.1637717121588,0,0,NaN,NaN,,
pAF,1760,m,0,NaN,221.584002876261,240,85.5978260869565,0,0,NaN,NaN,,
pAF,1766,m,1,200,177.78510774544,186,74.468085106383,23,23,6.103515625,1.0602,6.0-6.5,mid
pAF,1774,m,1,203,174.603709911295,188,81.6062176165803,23,21,5.859375,1.2681,5.5-6.0,mid
pAF,1783,m,0,NaN,232.148362365071,295,82.2454308093995,10,0,NaN,NaN,,
pAF,1789,m,0,NaN,196.298413426521,207,86.3013698630137,1,1,NaN,NaN,,mid
pAF,1795,m,1,215,186.259984068893,200,82.6771653543307,22,20,5.7373046875,1.3392,5.5-6.0,mid
pAF,1800,m,1,202,162.193206947624,179,65.5567117585848,37,37,5.9814453125,1.0341,5.5-6.0,mid
pAF,1810,m,1,200,167.746487514312,189,84.1121495327103,17,17,6.103515625,0.9657,6.0-6.5,mid
pAF,1811,m,1,225,173.347077379396,204,75.1789976133651,33,31,5.2490234375,1.1061,5.0-5.5,mid
pAF,1824,m,1,203,201.82402354123,200,76.73568818514,7,7,6.4697265625,1.341,6.0-6.5,mid
pAF,1831,m,0,NaN,213.710939883262,274,74.910820451843,20,0,NaN,NaN,,
