population,profile_id,rotor_position,rotor_present,s2_coupling_interval_ms,apd90_0d_ms,erp_1d_ms,cv_1d_cm_s,vw_any_duration_ms,vw_sustained_duration_ms,df_baseline_hz,area_baseline_cm2,df_baseline_interval_0p5hz,df_baseline_subgroup
pAF,8639,i,1,202,176.132331448905,198,67.8879310344827,33,33,5.615234375,1.2447,5.5-6.0,mid
pAF,8647,i,0,NaN,191.990173976927,225,77.7777777777777,26,0,NaN,NaN,,
pAF,8650,i,1,193,184.751209426613,192,72.8323699421966,6,6,6.4697265625,1.0782,6.0-6.5,mid
pAF,8654,i,0,NaN,206.893983405476,232,85.1351351351351,16,0,NaN,NaN,,
pAF,8665,i,1,193,175.15286079589,190,74.2924528301887,20,20,6.2255859375,1.1547,6.0-6.5,mid
pAF,8666,i,0,NaN,173.090939607355,189,67.4518201284796,26,23,NaN,NaN,,
pAF,8700,i,0,NaN,217.192952694568,238,87.1369294605809,10,0,NaN,NaN,,
pAF,8701,i,1,178,169.156679022068,177,80.2547770700637,15,15,7.080078125,1.152,6.5-7.3,high
pAF,8725,i,1,221,179.268737921098,214,60.6936416184971,35,35,4.7607421875,0.7884,4.5-5.0,low
pAF,8730,i,1,240,173.765664690101,230,79.6460176991151,28,13,4.39453125,0.9981,4.1-4.5,low
pAF,8763,i,1,191,173.767777459565,188,76.271186440678,19,19,6.2255859375,1.1583,6.0-6.5,mid
pAF,8770,i,1,173,164.798010331033,171,75.1789976133651,19,19,6.8359375,1.1007,6.5-7.3,high
pAF,8790,i,0,NaN,222.927035902423,248,78.4557907845579,11,0,NaN,NaN,,
pAF,8799,i,1,173,160.31439005609,170,83.1134564643799,18,18,6.9580078125,1.0152,6.5-7.3,high
pAF,8802,i,1,202,178.901455556399,199,74.2049469964664,12,12,5.4931640625,1.2393,5.0-5.5,mid
pAF,8841,i,1,206,177.903726817618,200,86.4197530864198,23,21,5.859375,1.1493,5.5-6.0,mid
pAF,8847,i,0,NaN,205.346784348971,270,69.7674418604651,7,0,NaN,NaN,,
pAF,8853,i,1,185,175.195684071274,183,78.9473684210526,13,13,6.591796875,1.2834,6.5-7.3,high
pAF,8909,i,1,177,161.631576390719,174,73.4265734265734,19,19,6.4697265625,0.873,6.0-6.5,mid
pAF,8925,i,1,194,178.001971779944,184,85.3658536585366,26,20,5.9814453125,1.3635,5.5-6.0,mid
pAF,8930,i,0,NaN,192.350396604568,213,85.5978260869565,21,0,NaN,NaN,,
pAF,8938,i,0,NaN,235.34687398377,280,83.7765957446808,1,0,NaN,NaN,,
pAF,8949,i,0,NaN,217.656986130634,263,58.8785046728972,3,0,NaN,NaN,,
pAF,8967,i,1,185,170.997552283479,182,82.2454308093995,21,21,6.103515625,1.2294,6.0-6.5,mid
pAF,8968,i,1,215,184.393856349765,210,62.6865671641791,35,35,5.126953125,1.0755,5.0-5.5,mid
pAF,8974,i,1,198,168.949256220534,192,63.7651821862348,32,32,5.4931640625,0.9558,5.0-5.5,mid
pAF,8976,i,0,NaN,212.133384895584,216,83.5543766578249,1,1,NaN,NaN,,
pAF,8994,i,0,NaN,205.299371243374,222,81.0810810810811,6,0,NaN,NaN,,
pAF,9013,i,0,NaN,225.225982473246,231,77.1113831089351,0,0,NaN,NaN,,
pAF,9020,i,1,221,202.622295032088,218,73.943661971831,16,16,5.4931640625,1.1637,5.0-5.5,mid
pAF,9027,i,1,197,188.511551507145,193,85.7142857142857,14,14,6.103515625,1.2708,6.0-6.5,mid
pAF,9038,i,1,221,202.028528872863,220,81.6062176165803,3,3,5.2490234375,0.9045,5.0-5.5,mid
pAF,9064,i,0,NaN,226.963389431039,246,75.4491017964072,0,0,NaN,NaN,,
pAF,9123,i,1,236,201.319836590759,221,74.2924528301887,14,1,5.126953125,1.3185,5.0-5.5,mid
pAF,9125,i,0,NaN,197.44256338734,207,85.7142857142857,16,0,NaN,NaN,,
pAF,9137,i,1,206,177.034202657422,203,89.7435897435897,11,11,5.37109375,1.143,5.0-5.5,mid
pAF,9141,i,1,232,204.637183055333,220,80.6658130601793,12,1,5.4931640625,1.2348,5.0-5.5,mid
pAF,9142,i,1,202,198.17555550301,201,81.1855670103093,15,15,6.8359375,1.071,6.5-7.3,high
pAF,9154,i,1,185,170.38083315402,181,80.8729139922978,24,24,6.4697265625,1.2915,6.0-6.5,high
pAF,9172,i,1,235,187.660292856977,224,66.8080593849417,32,11,4.638671875,1.1196,4.5-5.0,low
pAF,9183,i,1,217,197.335043063649,215,65.8995815899581,17,17,5.2490234375,1.2528,5.0-5.5,mid
pAF,9184,i,1,190,179.477976410082,189,78.8485607008761,12,12,6.34765625,1.2186,6.0-6.5,mid
pAF,9185,i,0,NaN,194.459676856364,233,58.933582787652,31,0,NaN,NaN,,
pAF,9211,i,1,214,185.746644307015,206,72.0823798627002,25,5,5.2490234375,1.2177,5.0-5.5,mid
pAF,9218,i,1,214,208.029224601938,210,75.3588516746411,15,13,5.859375,1.3482,5.5-6.0,mid
pAF,9231,i,1,173,168.027988545429,172,84,13,13,7.2021484375,1.0494,6.5-7.3,high
pAF,9235,i,1,192,174.347217038281,187,69.6132596685082,34,34,5.859375,1.2294,5.5-6.0,mid
pAF,9256,i,1,209,180.319078848588,205,70.7070707070707,27,27,5.7373046875,1.0638,5.5-6.0,mid
pAF,9260,i,1,206,186.172686798513,203,74.1176470588235,11,11,5.37109375,1.2888,5.0-5.5,mid
pAF,9269,i,1,179,163.482837348623,176,71.5909090909091,24,24,6.7138671875,1.0278,6.5-7.3,high
pAF,9271,i,1,222,178.732374630963,218,67.6691729323308,32,32,5.126953125,1.0566,5.0-5.5,mid
pAF,9273,i,0,NaN,212.140326179528,275,72.3306544202067,21,0,NaN,NaN,,
pAF,9280,i,1,195,174.613126007782,193,79.3450881612091,12,12,5.859375,1.0845,5.5-6.0,mid
pAF,9294,i,1,198,175.97875422427,195,72.4137931034483,21,21,5.7373046875,1.125,5.5-6.0,mid
pAF,9338,i,1,217,212.123209185127,216,82.4607329842932,6,6,6.103515625,1.1961,6.0-6.5,mid
pAF,9344,i,1,183,174.009961049691,180,74.5562130177515,23,23,6.7138671875,0.8955,6.5-7.3,high
pAF,9353,i,1,195,166.31604170327,191,76.73568818514,21,21,5.615234375,0.9783,5.5-6.0,mid
pAF,9359,i,0,NaN,174.663010810102,240,78.5536159600997,29,0,NaN,NaN,,
pAF,9365,i,1,174,161.61601865515,172,80.2547770700637,20,20,7.080078125,0.9846,6.5-7.3,high
pAF,9366,i,0,NaN,219.408683207374,267,84.2245989304813,1,0,NaN,NaN,,
pAF,9378,i,1,202,198.987336349848,201,72.6643598615917,11,11,6.2255859375,1.1583,6.0-6.5,mid
pAF,9380,i,1,204,175.740722896793,193,82.3529411764706,21,13,5.2490234375,1.1457,5.0-5.5,mid
pAF,9381,i,0,NaN,232.296680114698,246,76.271186440678,1,1,NaN,NaN,,
pAF,9416,i,1,223,194.874490077062,217,61.1650485436893,32,7,5.126953125,1.1961,5.0-5.5,mid
pAF,9419,i,1,215,203.377337605714,214,65.6934306569343,19,19,5.859375,0.918,5.5-6.0,mid
pAF,9427,i,1,205,171.402080417633,194,74.8218527315914,33,11,5.4931640625,1.3266,5.0-5.5,mid
pAF,9430,i,0,NaN,179.935255854813,227,87.0165745856353,29,0,NaN,NaN,,
pAF,9454,i,1,211,166.147816635064,207,69.7674418604651,31,31,5.0048828125,0.8937,5.0-5.5,mid
pAF,9476,i,1,229,201.066567646521,222,80.4597701149425,22,11,5.0048828125,1.1889,5.0-5.5,mid
pAF,9507,i,1,257,192.144663427556,249,64.8815653964984,35,25,5.0048828125,0.6894,5.0-5.5,mid
pAF,9510,i,1,194,181.518118291599,193,65.015479876161,19,19,5.9814453125,1.0296,5.5-6.0,mid
pAF,9532,i,0,NaN,201.636624434832,241,87.2576177285319,16,0,NaN,NaN,,
pAF,9533,i,1,242,172.708976366142,222,84.3373493975903,30,1,4.5166015625,1.1142,4.5-5.0,low
pAF,9543,i,1,218,226.852406684025,219,82.03125,1,1,6.103515625,1.323,6.0-6.5,mid
pAF,9554,i,0,NaN,236.105091006983,303,71.1864406779661,3,0,NaN,NaN,,
pAF,9576,i,1,183,178.210053510913,184,80.0508259212198,4,4,7.2021484375,1.1394,6.5-7.3,high
pAF,9581,i,0,NaN,218.139404764217,244,81.8181818181818,15,0,NaN,NaN,,
pAF,9585,i,1,213,202.013955310278,210,80.2547770700637,15,15,5.859375,1.4346,5.5-6.0,mid
pAF,9594,i,1,199,164.89063014261,196,79.646017699115,24,24,5.7373046875,1.0521,5.5-6.0,mid
pAF,9611,i,1,219,189.758088840434,217,82.5688073394495,12,12,5.2490234375,1.1205,5.0-5.5,mid
pAF,9633,i,0,NaN,207.606540140609,234,85.5978260869565,17,0,NaN,NaN,,
pAF,9634,i,0,NaN,216.041849758934,250,59.1549295774648,8,0,NaN,NaN,,
pAF,9635,i,0,NaN,239.635317510467,263,79.1457286432161,0,0,NaN,NaN,,
pAF,9678,i,0,NaN,222.842047214901,246,73.3410942956927,17,0,NaN,NaN,,
pAF,9686,i,0,NaN,232.962093448397,320,70.2341137123746,13,0,NaN,NaN,,
pAF,9730,i,1,203,199.715949152793,202,83.3333333333333,13,13,6.4697265625,1.3752,6.0-6.5,high
pAF,9735,i,1,225,187.94681417285,221,55.9006211180124,37,37,4.638671875,0.945,4.5-5.0,low
pAF,9780,i,1,236,177.255408373763,227,60,37,23,4.2724609375,0.8487,4.1-4.5,low
pAF,9782,i,1,286,202.521857807296,279,69.8447893569845,25,25,4.5166015625,0.7011,4.5-5.0,low
pAF,9783,i,1,175,169.912985774536,173,77.3006134969325,18,18,7.080078125,1.0557,6.5-7.3,high
pAF,9791,i,0,NaN,243.496375790826,297,59.3220338983051,5,0,NaN,NaN,,
pAF,9818,i,1,187,181.00009337331,187,67.1641791044776,17,17,6.2255859375,1.1142,6.0-6.5,mid
pAF,9821,i,1,195,178.243844244607,189,81.7120622568093,22,20,5.9814453125,1.1646,5.5-6.0,mid
pAF,9837,i,0,NaN,189.22638149331,215,83.223249669749,23,0,NaN,NaN,,
pAF,9854,i,1,188,191.069478025995,187,81.0810810810811,15,15,6.8359375,1.3221,6.5-7.3,high
pAF,9864,i,0,NaN,196.162340802213,244,59.37794533459,39,0,NaN,NaN,,
pAF,9865,i,1,244,214.396281306879,224,74.0305522914218,18,1,5.126953125,1.2699,5.0-5.5,mid
pAF,9894,i,0,NaN,222.150297750748,278,83.3333333333333,2,0,NaN,NaN,,
pAF,9900,i,1,211,182.426084302511,205,85.8310626702997,21,19,5.4931640625,1.2402,5.0-5.5,mid
pAF,9907,i,0,NaN,220.488660434683,255,85.4816824966079,15,0,NaN,NaN,,
pAF,9914,i,0,NaN,217.052461522224,210,84.5637583892617,3,3,NaN,NaN,,mid
pAF,9921,i,1,206,192.015991993605,204,65.4205607476635,21,21,5.9814453125,1.0449,5.5-6.0,mid
pAF,9931,i,1,194,169.018113862083,190,65.7620041753653,38,38,5.4931640625,0.9756,5.0-5.5,mid
pAF,9934,i,0,NaN,196.353604301257,227,71.4285714285714,23,0,NaN,NaN,,
pAF,9938,i,1,194,178.662979510911,191,66.6666666666667,15,15,5.9814453125,1.0881,5.5-6.0,mid
pAF,9947,i,0,NaN,240.967553325048,271,82.03125,1,0,NaN,NaN,,
pAF,9959,i,0,NaN,241.47388132738,261,82.3529411764706,2,0,NaN,NaN,,
pAF,9986,i,1,202,208.002914656019,203,82.8947368421052,5,5,7.080078125,1.1358,6.5-7.3,high
pAF,9988,i,1,186,178.314775854516,183,77.3955773955774,25,25,6.2255859375,1.3293,6.0-6.5,mid
pAF,11,m,1,217,167.914761979424,198,70.9459459459459,28,26,5.2490234375,0.9765,5.0-5.5,mid
pAF,19,m,0,NaN,232.869563272674,236,77.7777777777778,0,0,NaN,NaN,,
pAF,23,m,1,267,177.351908240176,245,64.3513789581205,36,36,5.126953125,0.9873,5.0-5.5,mid
pAF,37,m,1,199,179.330224472258,189,85.8310626702997,15,15,5.7373046875,1.3482,5.5-6.0,mid
pAF,49,m,0,NaN,244.853919152731,282,77.8739184177997,0,0,NaN,NaN,,
pAF,73,m,1,198,178.737184183236,189,78.1637717121588,14,14,5.7373046875,1.3194,5.5-6.0,mid
pAF,85,m,1,186,168.690775783412,176,83.1134564643799,17,17,6.7138671875,1.1025,6.5-7.3,high
pAF,99,m,0,NaN,209.190639863438,256,79.2452830188679,2,0,NaN,NaN,,
pAF,117,m,0,NaN,214.879282947542,241,87.0165745856354,12,0,NaN,NaN,,
pAF,119,m,0,NaN,240.047028689616,272,86.1833105335157,2,0,NaN,NaN,,
pAF,127,m,0,NaN,225.16790045044,264,60.1145038167939,17,0,NaN,NaN,,
pAF,137,m,1,208,188.635144389154,195,69.3832599118943,22,22,6.34765625,1.1592,6.0-6.5,mid
pAF,151,m,1,219,168.4576654599,195,64.8815653964984,35,33,5.2490234375,0.9243,5.0-5.5,mid
pAF,184,m,0,NaN,234.625842909714,261,80.1526717557252,14,0,NaN,NaN,,
pAF,205,m,0,NaN,182.913023072055,203,68.4782608695652,33,15,NaN,NaN,,mid
pAF,209,m,1,194,170.603070962199,184,74.2924528301887,15,15,6.34765625,1.1376,6.0-6.5,mid
pAF,212,m,0,NaN,181.36520834994,197,77.9702970297029,23,1,NaN,NaN,,mid
pAF,229,m,0,NaN,221.266460574581,227,84.6774193548387,2,0,NaN,NaN,,
pAF,232,m,1,190,170.923202975224,178,68.3297180043384,24,24,7.080078125,0.7632,6.5-7.3,high
pAF,236,m,0,NaN,197.065376250532,237,69.5364238410596,11,0,NaN,NaN,,
pAF,241,m,1,225,213.792275961641,222,71.6723549488055,7,7,5.859375,1.2654,5.5-6.0,mid
pAF,250,m,0,NaN,227.41721117877,238,78.5536159600997,7,0,NaN,NaN,,
pAF,258,m,0,NaN,233.640431329652,248,79.9492385786802,9,0,NaN,NaN,,
pAF,267,m,1,204,190.599863206786,191,83.5543766578249,19,19,6.2255859375,1.0899,6.0-6.5,mid
pAF,277,m,0,NaN,210.44714933075,231,85.2503382949932,14,0,NaN,NaN,,
pAF,280,m,0,NaN,205.845039386484,236,77.2058823529411,25,0,NaN,NaN,,
pAF,289,m,1,197,169.210952478323,185,87.9888268156424,22,9,5.7373046875,1.1052,5.5-6.0,mid
pAF,299,m,0,NaN,236.850602716797,289,70.7070707070707,1,0,NaN,NaN,,
pAF,309,m,1,193,163.110013951991,172,66.8789808917197,36,36,6.9580078125,0.7056,6.5-7.3,high
pAF,312,m,1,197,183.45784454274,191,78.0669144981413,10,10,7.2021484375,1.0845,6.5-7.3,high
pAF,333,m,0,NaN,229.589761944371,246,83.00395256917,1,0,NaN,NaN,,
pAF,367,m,0,NaN,204.801079408484,209,79.8479087452472,8,3,NaN,NaN,,
pAF,377,m,1,187,164.772360662566,180,86.3013698630137,12,12,6.4697265625,1.1142,6.0-6.5,mid
pAF,380,m,0,NaN,221.2083409279,236,78.6516853932584,5,0,NaN,NaN,,
pAF,383,m,1,240,169.39802079332,223,80.4597701149425,31,27,6.2255859375,0.5985,6.0-6.5,mid
pAF,384,m,0,NaN,227.301112218382,298,65.0826446280992,1,0,NaN,NaN,,
pAF,387,m,0,NaN,212.488870963127,269,65.8995815899581,24,0,NaN,NaN,,
pAF,464,m,1,202,168.107657613124,190,84.9056603773585,18,18,5.7373046875,1.1394,5.5-6.0,mid
pAF,469,m,0,NaN,218.92443632373,238,88.6075949367088,11,0,NaN,NaN,,
pAF,475,m,1,256,218.950309064647,250,64.8815653964984,7,7,4.2724609375,0.9378,4.1-4.5,low
pAF,476,m,1,205,172.10074129729,190,80.9768637532134,25,7,5.615234375,1.1394,5.5-6.0,mid
pAF,508,m,0,NaN,177.750749415245,217,81.6062176165803,16,0,NaN,NaN,,
pAF,509,m,1,224,184.036849569988,211,60.9874152952566,21,21,5.126953125,1.1106,5.0-5.5,mid
pAF,516,m,0,NaN,227.465982155016,301,73.3410942956927,10,0,NaN,NaN,,
pAF,522,m,1,189,166.215734422112,177,80.8729139922978,20,20,6.4697265625,1.0638,6.0-6.5,mid
pAF,526,m,1,227,220.574804260585,218,77.5862068965517,11,11,5.615234375,1.0413,5.5-6.0,mid
pAF,527,m,1,192,180.932722244266,184,80.1526717557252,16,16,7.080078125,1.1277,6.5-7.3,high
pAF,531,m,0,NaN,221.613576714299,222,82.4607329842932,6,1,NaN,NaN,,mid
pAF,542,m,0,NaN,216.129435835792,231,85.5978260869565,12,0,NaN,NaN,,
pAF,575,m,0,NaN,207.044687000729,234,69.1547749725576,20,0,NaN,NaN,,
pAF,581,m,0,NaN,212.874959464054,218,85.3658536585366,8,0,NaN,NaN,,
pAF,599,m,1,221,204.499183475084,212,71.753986332574,16,16,6.2255859375,1.0485,6.0-6.5,mid
pAF,609,m,1,196,176.49247188431,184,76.6423357664233,20,20,6.4697265625,1.2654,6.0-6.5,mid
pAF,613,m,0,NaN,240.801432571468,234,83.8881491344873,2,0,NaN,NaN,,
pAF,631,m,0,NaN,237.841649003974,274,72.1649484536082,3,0,NaN,NaN,,
pAF,633,m,0,NaN,219.695476841523,253,77.970297029703,2,0,NaN,NaN,,
pAF,666,m,1,213,194.378677692759,203,76.4563106796116,16,16,5.7373046875,1.1835,5.5-6.0,mid
pAF,682,m,0,NaN,199.443114022455,231,84.6774193548387,12,0,NaN,NaN,,
pAF,683,m,1,207,165.130121357506,186,64.7482014388489,34,34,5.7373046875,0.9018,5.5-6.0,mid
pAF,702,m,1,217,160.6728247848,195,66.5258711721225,38,37,5.2490234375,1.0701,5.0-5.5,mid
pAF,726,m,0,NaN,239.394175844187,295,62.3762376237624,7,0,NaN,NaN,,
pAF,738,m,1,187,184.452100212009,184,85.5978260869565,6,6,6.7138671875,1.5975,6.5-7.3,high
pAF,747,m,0,NaN,219.020072398533,229,79.145728643216,19,3,NaN,NaN,,mid
pAF,752,m,1,188,177.170434401814,179,85.3658536585366,16,16,6.591796875,1.1178,6.5-7.3,high
pAF,754,m,0,NaN,224.352420641437,250,85.2503382949932,14,0,NaN,NaN,,
pAF,760,m,1,211,177.426468148151,193,75.9951749095295,29,29,5.859375,1.2411,5.5-6.0,mid
pAF,779,m,0,NaN,211.031998350169,223,80.7692307692307,5,1,NaN,NaN,,mid
pAF,786,m,1,210,176.575671852464,192,86.1833105335157,25,23,5.9814453125,1.3122,5.5-6.0,mid
pAF,789,m,0,NaN,202.161443790996,210,82.03125,11,1,NaN,NaN,,mid
pAF,796,m,1,183,174.247089300305,178,83.8881491344873,10,10,7.080078125,1.1043,6.5-7.3,high
pAF,807,m,1,212,188.306424187016,201,75.4491017964072,29,11,5.615234375,1.3617,5.5-6.0,mid
pAF,814,m,0,NaN,192.034402550278,197,85.9481582537517,16,1,NaN,NaN,,
pAF,820,m,0,NaN,232.224874024658,239,86.6574965612104,3,0,NaN,NaN,,
pAF,821,m,1,233,172.076549504302,218,59.6590909090909,25,25,4.5166015625,1.0341,4.5-5.0,low
pAF,826,m,1,198,164.859050767736,180,72.8323699421966,29,29,6.2255859375,0.936,6.0-6.5,mid
pAF,829,m,1,212,194.168363806435,208,85.7142857142857,7,7,5.615234375,1.1484,5.5-6.0,mid
pAF,841,m,0,NaN,205.100829556693,208,79.4451450189156,1,1,NaN,NaN,,mid
pAF,848,m,1,250,190.331571007526,233,84.7913862718708,22,15,4.5166015625,0.9729,4.5-5.0,low
pAF,850,m,1,248,178.905320333324,233,73.943661971831,23,15,4.39453125,0.9207,4.1-4.5,low
pAF,856,m,1,202,186.644768196107,189,65.0826446280992,26,26,6.591796875,0.9855,6.5-7.3,high
pAF,865,m,1,227,178.786315304882,211,79.746835443038,32,17,5.0048828125,1.0719,5.0-5.5,mid
pAF,874,m,0,NaN,186.397865192434,193,78.0669144981412,2,2,NaN,NaN,,mid
pAF,875,m,0,NaN,163.070825246432,200,62.5,30,28,NaN,NaN,,
pAF,877,m,0,NaN,192.500034269142,201,86.8965517241379,13,5,NaN,NaN,,
pAF,884,m,1,193,192.493484778948,192,76.0869565217391,7,7,7.2021484375,1.215,6.5-7.3,high
pAF,889,m,1,239,176.313667807663,225,83.5543766578249,25,13,4.638671875,1.0278,4.5-5.0,low
pAF,907,m,0,NaN,210.779840101641,215,86.1833105335157,6,1,NaN,NaN,,
pAF,923,m,0,NaN,211.965888417355,272,59.0994371482176,7,0,NaN,NaN,,
