population,profile_id,source_batch,source_simulation_id,RMP_bcl1000,APA_bcl1000,PlatA_bcl1000,mx_dvdt_bcl1000,APD95_bcl1000,APD90_bcl1000,APD50_bcl1000,APD20_bcl1000,rep_failure_bcl1000,rep_EAD_bcl1000,rep_DAD_bcl1000,alternan_bcl1000,CaT_min_bcl1000,CaT_max_bcl1000,CaT_amp_bcl1000,CaD90_bcl1000,CaD50_bcl1000,tau_decay_bcl1000,SCaEs_bcl1000,RMP_bcl500,APA_bcl500,PlatA_bcl500,mx_dvdt_bcl500,APD95_bcl500,APD90_bcl500,APD50_bcl500,APD20_bcl500,rep_failure_bcl500,rep_EAD_bcl500,rep_DAD_bcl500,alternan_bcl500,CaT_min_bcl500,CaT_max_bcl500,CaT_amp_bcl500,CaD90_bcl500,CaD50_bcl500,tau_decay_bcl500,SCaEs_bcl500,passes_calibration
pAF,3747,distributed_node_runs,349,-78.9618880758326,126.540288767492,64.9445927695472,394.638106720195,260.317042610332,192.017127452673,26.7086795466021,1.72756074722565,0,0,0,0,0.0939541287842105,0.732923530265572,0.638969401481361,347.993852094667,115.210843045053,132.4733784407,0,-77.2337380635206,125.810089259715,63.3505950432492,384.367549230536,222.595844050418,171.259275720429,22.1517232495135,1.66844559016681,0,0,0,0,0.12368972249427,0.557434966232961,0.433745243738691,311.876208840324,126.248002162458,135.103002719588,0,1
pAF,3759,distributed_node_runs,350,-77.3133373760083,118.613142523713,59.4212119532054,319.779580165636,320.767752626009,244.917546516939,20.9002110463116,1.74854399385367,0,0,0,0,0.0829412288068952,0.599922258284185,0.51698102947729,383.453381298481,128.849359746659,152.780865824981,0,-75.6574410380972,115.955222982557,57.2667054241961,300.011897793187,255.612560503399,196.849136003057,18.5006145894477,1.7301334279291,0,0,0,0,0.109185961614132,0.439971113761975,0.330785152147843,322.157878754457,127.34425591298,157.972141487157,0,1
pAF,3768,distributed_node_runs,351,-76.3419283720538,110.553201422174,51.9053967372221,260.285632175992,235.734612511529,172.503174775629,16.0130049479922,1.90071514953161,0,0,0,0,0.0944384719172179,0.642329120685664,0.547890648768446,388.726517646239,105.186421837403,150.241566392804,0,-75.5598457117935,109.101365612161,51.7924470738309,251.589340518704,192.533378237618,146.220565887979,16.4492218852538,1.8859089213729,0,0,0,0,0.125540343046282,0.465354603780247,0.339814260733965,320.540318144638,109.396236447988,159.979328329374,0,1
pAF,3780,distributed_node_runs,352,-76.7375459919395,115.153533404118,59.3612582733177,291.187023541357,272.906925040355,196.356757378169,24.0282984288424,2.1459083683003,0,0,0,0,0.0875249252936653,0.584307416774106,0.496782491480441,386.18849345058,111.583479854409,153.628173040055,0,-75.3123266850524,112.812066280308,58.2775373399335,275.238898046732,217.146450404514,162.36963001703,24.3713105531679,2.12508606640768,0,0,0,0,0.11661573865135,0.439167190607131,0.322551451955781,320.604007801718,115.848728536541,159.58964410255,0,1
pAF,3811,distributed_node_runs,354,-72.0204662288597,104.920784625773,40.2797224766658,227.559646971694,259.494995670611,180.570483394411,8.28162159247586,1.78158237032767,0,0,0,0,0.107300683751964,0.713878726204502,0.606578042452537,389.801355398049,101.022930399748,147.23955294386,0,-71.3020362335911,101.859629240571,39.9179207596719,209.86783688691,199.206822474171,141.822066509569,8.81541844841558,1.83451099602462,0,0,0,0,0.129939477346207,0.448621358236587,0.318681880890379,325.133829875249,108.472823864176,163.721299151455,0,1
pAF,3818,distributed_node_runs,355,-78.2445189815931,114.975201394063,65.3086663723626,289.809381919064,299.933132962491,212.597447786655,46.1459304196833,2.43489688216505,0,0,0,0,0.0818594092219424,0.566279548321352,0.484420139099409,378.842311669847,118.882122367679,149.109277684165,0,-76.3687930763267,112.611046394904,63.101257087998,274.394469438476,238.87639477941,174.279413963981,41.5511740697366,2.35012612203718,0,0,0,0,0.11093981076325,0.44159826261914,0.33065845185589,317.669124069438,120.753355205259,151.487740939501,0,1
pAF,3864,distributed_node_runs,356,-78.2092306654048,102.553886026655,59.9863033719125,211.317403200494,230.071691629266,169.124061745388,40.7444677928506,2.95598145505937,0,0,0,0,0.0881094196976122,0.582469521486449,0.494360101788837,377.438026328746,109.910881460797,146.871249134517,0,-77.1375762716632,101.66813946987,59.6524576746297,207.113635883306,188.599757782653,148.34094000105,43.311493058085,2.79563254925233,0,0,0,0,0.114232289772104,0.428294952982431,0.314062663210327,318.907502807942,116.585115433205,155.894676407637,0,1
pAF,3876,distributed_node_runs,357,-77.1628577583415,125.233765614331,64.3729527514707,379.532969326076,234.408014375811,170.123088134991,23.5537219405305,2.29007620132325,0,0,0,0,0.0995803484182898,0.7052187038504,0.60563835543211,354.151023995677,105.040029079828,137.766682830631,0,-75.7446992983852,124.438930876203,64.804537876001,368.138109837403,187.257382368884,143.557464506579,26.3320720043266,2.23339686095642,0,0,0,0,0.123484565799669,0.496766839441464,0.373282273641795,310.534145029269,115.072187876602,144.465551377953,0,1
pAF,3899,distributed_node_runs,358,-71.2554125102832,104.512075233685,52.1637982709002,222.202478499497,305.380223928667,224.499047041005,20.5138859123545,2.58449362774263,0,0,0,0,0.107317110423143,0.719073527519622,0.611756417096478,389.048922890121,104.273723717612,159.533438531105,0,-70.1155361902067,98.60132309489,51.4462111949326,189.691962133761,240.498911696319,183.088661629998,24.7031885712349,2.77734807855813,0,0,0,0,0.135211390314121,0.48776866484027,0.352557274526149,323.321331266583,111.083934919869,165.008528013554,0,1
pAF,3926,distributed_node_runs,359,-78.0702552717718,120.674271342619,56.6679388370402,334.329203897563,218.538965238964,174.248977730873,14.5586166684589,1.64605806968029,0,0,0,0,0.105838176110939,0.792219574158044,0.686381398047106,374.766630942533,102.265316980498,147.953770262402,0,-77.2068031016012,120.050113724611,56.3025360015288,329.035879654475,193.153223006808,158.225258250659,13.8007114222855,1.60738482717352,0,0,0,0,0.144946202583693,0.58903536599848,0.444089163414787,314.671058281918,108.382570690861,153.79070522838,0,1
pAF,3929,distributed_node_runs,360,-75.2190822194682,120.306672365029,60.1208285814044,331.53422141133,325.293827148358,221.599993642281,20.4263218925844,1.69829690430197,0,0,0,0,0.0943161501156257,0.732647875276337,0.638331725160712,372.825246645276,115.172871008377,145.945277568266,0,-72.8930706132897,113.142545746859,57.047097999079,281.424599928965,256.484689760309,180.422018289908,22.1541623151388,1.77593806413279,0,0,0,0,0.132058723605901,0.568675859519988,0.436617135914087,312.951946552632,115.261761163132,143.433756043298,0,1
pAF,3932,distributed_node_runs,361,-76.6726252837255,103.897866759827,49.7334820035991,220.223301155155,220.662918463837,171.994763033021,17.3156627533099,2.29601341542002,0,0,0,0,0.103471652804258,0.685788107475287,0.582316454671029,389.60273655771,104.212009678908,150.048231212737,0,-76.0590454237968,103.42672688575,50.0820681465574,217.33209305481,184.737520827399,148.670731501777,18.0092634566863,2.25135015125488,0,0,0,0,0.127441973234303,0.445458117581513,0.318016144347209,324.868815724803,111.609007815132,166.236176920205,0,1
pAF,3935,distributed_node_runs,362,-74.035223054247,115.325504537921,57.9163050034629,291.12000476959,244.523233309803,173.281380496221,20.9456285941924,2.30996544509981,0,0,0,0,0.0956836271766962,0.647441956894478,0.551758329717782,382.946694763494,106.218262716196,151.049791169574,0,-73.019164990603,112.013351652172,57.3941184326732,269.360588445354,197.09518338439,145.948372136056,23.0188785780992,2.34009942779448,0,0,0,0,0.127600177015489,0.482567536635745,0.354967359620257,317.874159976735,110.277924053386,154.674463732064,0,1
pAF,3937,distributed_node_runs,363,-79.0185453124556,120.226752473188,67.4449022238672,332.493645070751,234.631575650877,169.053193133186,46.4744779424873,2.07390438322909,0,0,0,0,0.0831617061736396,0.614126227636515,0.530964521462875,356.374551094952,115.218396923228,132.718673866107,0,-77.7400358730012,119.124582330628,65.8971877956413,324.49173638043,196.137064989456,146.877034758374,43.0659673269547,1.988111139799,0,0,0,0,0.113015198280607,0.488837690237582,0.375822491956974,306.081474568233,117.165510393941,136.188916326612,0,1
pAF,3938,distributed_node_runs,364,-75.5858658905785,106.18114362192,59.0207441126095,234.389866454798,310.37748645465,239.982045068813,45.8904968919087,2.64602834590187,0,0,0,0,0.0987552988056985,0.693266260135808,0.594510961330109,377.615307416316,113.419664262801,155.690330131653,0,-73.7973798248517,102.577352777119,57.5919337393267,212.701980693172,256.437049065709,205.295666035778,47.858764503897,2.64751070181228,0,0,0,0,0.125797492553301,0.486930972272693,0.361133479719392,323.922303024396,122.999142408506,163.679125827906,0,1
pAF,3953,distributed_node_runs,365,-78.9787886365713,102.113621409969,61.2013255692961,209.212457512741,240.728403366898,174.908211412607,47.8544592997714,2.61722131528222,0,0,0,0,0.0802942349652688,0.552755612014667,0.472461377049398,361.464649469359,112.306006811268,139.84127924847,0,-77.8377365567278,101.055825703599,60.2175104110436,204.873687158099,199.21570310873,151.746803350674,47.7663345491419,2.45279093701538,0,0,0,0,0.105714422913059,0.427542557208132,0.321828134295073,309.992533274144,116.884610366767,146.892711875645,0,1
pAF,3958,distributed_node_runs,366,-77.5629591653621,126.287971469155,66.3531981427084,389.213638198268,270.416318720789,204.050991086828,34.8886895063988,1.99060213632765,0,0,0,0,0.0994343238081954,0.789710365819065,0.690276042010869,352.917269277961,116.389912937215,135.625793601057,0,-75.7722654872586,124.534778467204,64.582415659543,370.672528257313,232.344247436304,181.123852853198,31.5730950481775,1.93771050979922,0,0,0,0,0.132951130664391,0.599813431310122,0.466862300645731,311.604473350722,124.207644188984,137.764001369178,0,1
pAF,3961,distributed_node_runs,367,-75.7030987395923,118.541079855312,54.2212878117366,323.736687548888,329.736756370083,239.409353432849,12.9352465524644,1.51964958730969,0,0,0,0,0.0986964162756626,0.74744674391071,0.648750327635048,362.776272436313,103.36945143903,149.225395384336,0,-73.1272211708325,111.924395632613,52.3208632237167,276.282286338626,276.865437171793,205.447929524998,13.9903831537231,1.59157443416552,0,0,0,0,0.130618472555475,0.552207695340146,0.421589222784671,314.348801797358,111.865064141835,154.066843833583,0,1
pAF,3964,distributed_node_runs,368,-75.0901985843273,113.282703815004,53.6423292022333,279.824434631704,290.001492409952,215.768486052562,15.4769145212704,1.76433313843881,0,0,0,0,0.0984496030279015,0.710605295376931,0.61215569234903,379.248394781345,105.372612348227,154.182653485118,0,-73.5617010298179,109.407857714764,52.4278132927251,254.276784854247,240.110807748548,182.763772102684,16.268852041223,1.79260505822822,0,0,0,0,0.132496457928919,0.523494541104883,0.390998083175964,318.438214393911,111.427240370762,159.312072274217,0,1
pAF,3980,distributed_node_runs,369,-76.6230829020335,113.878559204218,60.4395034945153,284.715538325015,236.202802508487,181.69687728415,26.8808891959052,2.66747401489556,0,0,0,0,0.0963047019318931,0.637609853678887,0.541305151746994,374.443168378144,108.887295552675,149.739295568109,0,-75.5012304502744,112.828278801501,60.5861442762976,276.095881998186,198.115077150695,159.1421177843,29.2338875059977,2.60982816885735,0,0,0,0,0.120164289951658,0.445298002721352,0.325133712769694,319.898094684744,117.502632078082,160.365296205315,0,1
pAF,3981,distributed_node_runs,370,-78.777249753267,116.476211443103,62.5763118401889,298.956841743535,230.358770062958,185.323258240227,34.8263254859266,2.1218228889993,0,0,0,0,0.0991931358035259,0.733232020702877,0.634038884899351,381.227816367122,110.238869949957,150.725010327407,0,-77.8207350400312,115.503719781143,61.3859760649467,293.074037543873,203.180151672255,167.69055395024,32.6806230088623,2.04873441281597,0,0,0,0,0.139622813485508,0.569714211992125,0.430091398506616,316.980345611337,113.919783563939,153.688693655347,0,1
pAF,3993,distributed_node_runs,371,-79.0129955303763,127.750412429034,70.1576105880693,397.746416841673,230.690262529497,173.977923531871,47.4910667592267,2.39664678156259,0,0,0,0,0.0973349443608078,0.711912406631961,0.614577462271153,367.88496683041,117.265333617484,139.490056374276,0,-77.5805391947056,127.205577377111,68.710474316548,390.123773031069,193.476341042795,154.70841337485,44.220757834828,2.29242103586512,0,0,0,0,0.131428324886159,0.546339818813916,0.414911493927757,314.636933884634,122.902551200459,141.498446658563,0,1
pAF,3998,distributed_node_runs,372,-78.9093424087899,129.912829762882,62.2051853094036,408.427603297113,243.036496310917,187.708934569127,15.596271378352,1.65939501734101,0,0,0,0,0.0988097909058307,0.712571992035314,0.613762201129483,388.668665995654,109.801791117607,154.921931197948,0,-78.0125431774623,128.47847537314,60.8131049930755,397.533062965651,208.435381155668,164.073770432398,14.2614819167356,1.64318135106805,0,0,0,0,0.141148076553285,0.569070674968842,0.427922598415557,317.012909529803,110.862149856654,154.82269064502,0,1
pAF,4005,distributed_node_runs,373,-78.0944312218146,124.475897784585,59.0927104090082,368.595757089839,219.601900187852,177.306654479682,14.3922662021432,1.57100928155705,0,0,0,0,0.0940819521079772,0.685068730174919,0.590986778066942,373.273748978099,112.030460701601,147.593271709964,0,-77.0876584131935,123.690808922299,57.9322443753765,360.928121201071,191.299856518042,158.511951169337,12.6840402462149,1.53996491720318,0,0,0,0,0.128177577747139,0.520248720412256,0.392071142665117,315.929032533859,117.303085222607,152.483285055103,0,1
pAF,4022,distributed_node_runs,374,-77.10263000843,92.5073590832843,53.2609034054654,159.736429899225,235.874113348204,174.668399776754,34.8870438388185,3.30175750093622,0,0,0,0,0.0963856337810949,0.64546408345758,0.549078449676485,370.345791420856,104.171888206984,143.726335180139,0,-76.091023033183,91.6717124910484,54.0810211801599,156.288365433759,190.91827239847,150.996403019391,39.4728294607266,3.11358899320476,0,0,0,0,0.119304730301369,0.444428487232227,0.325123756930858,317.470983604228,112.896086227196,158.394104390157,0,1
pAF,4037,distributed_node_runs,375,-74.0476550132611,111.157811412678,61.7639272103575,264.825596386849,293.057648691574,215.059708865687,35.5406208243803,2.82334514114336,0,0,0,0,0.106322792541964,0.791081998413415,0.684759205871452,365.283600974486,104.825951105602,148.241676143099,0,-72.2003486329886,105.612573086957,60.6979176950861,229.568171333017,239.340158112958,181.749381239457,42.1420027871827,2.92530249311312,0,0,0,0,0.140161739208652,0.578150007288024,0.437988268079372,313.870427593825,113.025881066642,149.084933717451,0,1
pAF,4047,distributed_node_runs,376,-73.9645724180038,119.915859294695,47.1895442214022,338.801595199647,291.634394393368,197.392753063526,8.14109428151278,1.59252509147336,0,0,0,0,0.0925651362211952,0.596864524165976,0.504299387944781,377.318246425639,103.638309305992,149.693032995872,0,-72.288800695168,114.743146599793,46.5485976869659,299.296915469459,216.894526637552,145.543165355859,8.88229541116016,1.65955758416021,0,0,0,0,0.111374280290432,0.39577974327424,0.284405462983808,320.470016793639,111.122343276813,161.795911544901,0,1
pAF,4052,distributed_node_runs,377,-73.197522590109,117.839141512591,50.8595091408498,319.874316640617,276.075599394258,199.993834299181,10.4902499545933,1.77804249589099,0,0,0,0,0.111532909538794,0.805922839487213,0.694389929948418,371.241946812879,98.7536167637591,149.695365416674,0,-71.6814724940202,112.788988575482,50.6548643494964,282.109439326906,225.12708742448,167.829743156621,11.8048109776864,1.83418932723725,0,0,0,0,0.140665452538556,0.543609153676766,0.40294370113821,317.136946552473,108.032100992634,156.942309728967,0,1
pAF,4053,distributed_node_runs,378,-77.664512866337,121.308548187048,58.1307277956121,345.179016265235,325.146486395184,239.72215743702,15.7311050430653,1.71704911359848,0,0,0,0,0.0894748788633443,0.637558484468595,0.54808360560525,368.551792309663,112.015433606895,151.397718839678,0,-75.2407118082212,118.062380911354,56.2425197837924,317.266760922593,272.19717619603,204.94919772002,14.7594017312222,1.70249958471686,0,0,0,0,0.115736198284034,0.469559295327524,0.35382309704349,320.10430836946,120.601145413471,160.021933805727,0,1
pAF,4063,distributed_node_runs,379,-78.7591856575739,123.993831030825,56.8188805051363,367.474964516705,252.980116564337,183.214140055745,13.2137229279542,1.54467243091494,0,0,0,0,0.086444532955534,0.590010261503198,0.503565728547664,371.983259801891,108.490687989914,148.400220169,0,-77.290568009296,123.172480129523,56.325866415109,358.505404976251,207.05714342459,155.196861564273,12.1666409606878,1.51386393506618,0,0,0,0,0.112273535585149,0.436393871662328,0.32412033607718,317.115778794625,114.927063280411,158.297087764227,0,1
pAF,4066,distributed_node_runs,380,-70.9402950123386,113.628350870231,49.5157869709908,287.362532651135,332.752935805962,232.680838746943,11.3052639429006,2.13152874809748,0,0,0,0,0.108975339409344,0.694189163149275,0.585213823739932,392.246585294008,105.19560950077,159.738445826018,0,-69.0651072707587,103.247722810483,47.8182077756947,218.841955661181,261.711895745004,188.77396255255,14.8151521742147,2.34434820567549,0,0,0,0,0.131752972013207,0.45954176052291,0.327788788509703,325.728134798119,111.814562336123,167.546813751698,0,1
pAF,4074,distributed_node_runs,381,-78.4357234647666,104.901629591068,60.4867022001289,226.762503004687,275.957473465693,200.793279813603,39.8053258394575,2.71600701227726,0,0,0,0,0.0844776713701475,0.562648056556074,0.478170385185927,366.173750156253,112.115244984219,146.652663873423,0,-76.9356230375532,103.654057520139,59.9191272364025,219.967730341618,224.812634381309,169.669123758991,41.7723683331787,2.58438136221957,0,0,0,0,0.106530236489212,0.412534226334336,0.306003989845124,316.031788513716,119.976260067673,155.861246570243,0,1
pAF,4085,distributed_node_runs,382,-76.7014689128767,124.361238657114,60.8221957497565,371.63869163816,310.448723091831,235.303805793199,17.6343750485103,1.6512002897507,0,0,0,0,0.0953446373395343,0.743669440338808,0.648324802999273,360.914974120031,113.053798393034,146.676133152857,0,-74.4578369737748,120.076168514039,58.6487072804586,336.181553495505,270.375109119501,209.932950874612,17.2668984876545,1.66587897020145,0,0,0,0,0.128666915723444,0.56862737684549,0.439960461122046,315.483528941055,120.825127371099,151.298998561706,0,1
pAF,4086,distributed_node_runs,383,-76.9213642422237,111.066060268628,62.0499774876124,267.44818717186,318.1170078414,232.721482724664,42.9725035078882,2.23320907072775,0,0,0,0,0.0941377523633297,0.711992949287991,0.617855196924661,357.760652606063,110.936544291413,142.138244842499,0,-74.6367013134252,107.259480025633,60.1248052598476,242.446555380367,266.47520782732,199.878688982277,45.4657826459879,2.20362113119336,0,0,0,0,0.12465933492343,0.540471566362399,0.415812231438969,312.193491529633,118.824217927267,145.51670981207,0,1
pAF,4100,distributed_node_runs,384,-76.8229721326456,123.944525921748,65.8557303330531,368.028873015749,244.346114794782,173.090911541702,27.8200517943842,2.39485466764017,0,0,0,0,0.0962496339782526,0.691562702677587,0.595313068699335,343.872456308971,104.255604538659,132.51514281313,0,-75.2757950139809,122.481124808778,66.0605588374524,352.066432013752,196.415669136644,143.689202794521,31.967778252565,2.33870476364245,0,0,0,0,0.119588359025649,0.500885927516095,0.381297568490446,304.487090391536,113.183865079987,137.473119528845,0,1
pAF,4106,distributed_node_runs,385,-72.2430696711785,106.439532838821,52.1484798706271,232.973086289443,260.2408680109,183.284792695726,18.868449992493,2.30205765318533,0,0,0,0,0.101201149722856,0.683363649139959,0.582162499417102,390.83344261608,104.712807631906,153.401558498951,0,-71.6851374887191,103.335190469519,51.9112602988733,215.692717720549,207.477471911039,153.417138187844,21.0558001272257,2.35473824707151,0,0,0,0,0.133279714022896,0.488500213892424,0.355220499869528,321.451981954702,109.035013099583,159.010893823518,0,1
pAF,4119,distributed_node_runs,386,-72.4921747072777,116.80787858364,61.5781103553285,308.803357375545,340.92979451947,232.681187042363,35.3557642924789,1.94707849826227,0,0,0,0,0.0945926900882785,0.754305763893103,0.659713073804824,362.799838392937,116.004721572492,139.53056831629,0,-69.9613004733284,104.199387057194,58.2312866478849,224.99209692546,276.563121691008,194.667536384834,46.3672224087277,2.23754420569821,0,0,0,0,0.132699196355027,0.5968692719393,0.464170075584273,308.637757686727,115.435127534296,136.124465492675,0,1
pAF,4166,distributed_node_runs,387,-77.3480014916026,120.161011425173,64.5357644484314,330.524384532323,238.081549967334,175.409976919109,41.8733337710364,2.00246262658038,0,0,0,0,0.0882413209917364,0.648157551676662,0.559916230684925,367.399491062934,117.095060086212,138.631405439244,0,-76.1235494030403,118.459594898959,62.7540702589222,317.700050157723,197.775226833939,151.30019532092,35.9513966632403,1.95162573951893,0,0,0,0,0.120906934488208,0.505963456539335,0.385056522051127,312.106026760521,119.151721154776,141.116255015293,0,1
pAF,4174,distributed_node_runs,388,-77.6766827324201,125.263834546553,64.4646531689089,375.502132113011,237.314402555356,175.908587805403,24.6484344402197,1.92128770906857,0,0,0,0,0.0971878331443795,0.725187405328106,0.627999572183726,363.685772854376,108.345957063946,141.746011885212,0,-76.2328318465787,123.982440237714,63.4902965605781,362.495479402638,197.796868072168,153.228092778641,24.3632429594691,1.8697805576121,0,0,0,0,0.132013057223535,0.557725008058315,0.42571195083478,310.542351139353,114.197609825082,143.860668398293,0,1
pAF,4181,distributed_node_runs,389,-78.2006711842465,115.410263712006,61.2251068449268,294.281600559526,291.086492166265,228.06346778947,32.8901336208583,1.9917076234924,0,0,0,0,0.0820522400300015,0.571602104826104,0.489549864796102,385.086199125268,124.038789064274,157.039003962833,0,-76.7118442499822,113.637429740731,59.3559382538861,282.395456228256,242.994074546885,194.405629348159,28.3746996040463,1.94697120485944,0,0,0,0,0.110817978306383,0.438204385706081,0.327386407399699,322.86992104493,126.702674174463,163.291363218867,0,1
pAF,4231,distributed_node_runs,390,-78.4253135683398,129.935306235818,62.2915753757876,414.63094248151,287.801444621895,206.398884048409,15.0226047816759,1.51798074308317,0,0,0,0,0.0764997374561672,0.529807913079515,0.453308175623348,386.5625801571,122.570221709109,153.655881725097,0,-76.86367370783,127.647353976886,59.7708732173517,395.541894040065,229.937389795992,167.223841452174,12.7479307298199,1.50776213101199,0,0,0,0,0.106377486553634,0.423089989778052,0.316712503224418,318.542869260407,120.461683031976,155.628106677552,0,1
